question,key_answer,student_answer,expected_score
"What is financial literacy and why does it matter?","Financial literacy is the knowledge and skills needed to make informed money decisions, including budgeting, saving, borrowing, and understanding financial products. It matters because it helps people avoid costly mistakes, reduce financial stress, and make decisions that support long-term stability and well-being.","Financial literacy refers to understanding how money works, including budgeting, saving, and borrowing wisely. It is important because it enables people to avoid expensive errors, lower their financial anxiety, and build long-term financial security.",95
"What is financial literacy and why does it matter?","Financial literacy is the knowledge and skills needed to make informed money decisions, including budgeting, saving, borrowing, and understanding financial products. It matters because it helps people avoid costly mistakes, reduce financial stress, and make decisions that support long-term stability and well-being.","Financial literacy means knowing about money and budgets. It helps with making better choices, though some people can still manage fine without learning it formally.",60
"What is financial literacy and why does it matter?","Financial literacy is the knowledge and skills needed to make informed money decisions, including budgeting, saving, borrowing, and understanding financial products. It matters because it helps people avoid costly mistakes, reduce financial stress, and make decisions that support long-term stability and well-being.","Financial literacy is only about investing in stocks and becoming wealthy quickly. It does not really matter for everyday spending decisions.",15
"What is financial literacy and why does it matter?","Financial literacy is the knowledge and skills needed to make informed money decisions, including budgeting, saving, borrowing, and understanding financial products. It matters because it helps people avoid costly mistakes, reduce financial stress, and make decisions that support long-term stability and well-being.","Financial literacy is a type of cooking skill that helps people prepare food more efficiently in the kitchen.",5
"What are the four elements of financial well-being according to the CFPB?","The four elements of financial well-being are: (1) control over day-to-day finances, (2) capacity to absorb a financial shock, (3) being on track to meet financial goals, and (4) financial freedom to make choices that allow you to enjoy life.","According to the CFPB, financial well-being consists of four parts: having control of daily money matters, being able to handle unexpected expenses, progressing toward your financial objectives, and having the freedom to make enjoyable life choices.",94
"What are the four elements of financial well-being according to the CFPB?","The four elements of financial well-being are: (1) control over day-to-day finances, (2) capacity to absorb a financial shock, (3) being on track to meet financial goals, and (4) financial freedom to make choices that allow you to enjoy life.","Financial well-being includes managing daily expenses and saving for emergencies, but the other components are less important for most people.",55
"What are the four elements of financial well-being according to the CFPB?","The four elements of financial well-being are: (1) control over day-to-day finances, (2) capacity to absorb a financial shock, (3) being on track to meet financial goals, and (4) financial freedom to make choices that allow you to enjoy life.","Financial well-being means having a high income and luxury possessions. The four elements are: expensive car, big house, designer clothes, and frequent vacations.",10
"What are the four elements of financial well-being according to the CFPB?","The four elements of financial well-being are: (1) control over day-to-day finances, (2) capacity to absorb a financial shock, (3) being on track to meet financial goals, and (4) financial freedom to make choices that allow you to enjoy life.","The CFPB is a certification for professional basketball coaches and has nothing to do with personal finance.",3
"Why is financial literacy important for avoiding financial fraud?","Financial literacy helps people recognize and avoid scams by teaching them to ask critical questions about financial products, understand terms and fees, and identify suspicious offers. Studies show that financially literate people are less likely to fall victim to fraud.","Understanding financial concepts helps individuals spot fraudulent schemes by knowing what legitimate products look like and questioning offers that seem too good to be true or have unclear terms.",92
"Why is financial literacy important for avoiding financial fraud?","Financial literacy helps people recognize and avoid scams by teaching them to ask critical questions about financial products, understand terms and fees, and identify suspicious offers. Studies show that financially literate people are less likely to fall victim to fraud.","Knowing about money can help you avoid some scams, but fraud is mainly prevented by banks and police, not personal knowledge.",50
"Why is financial literacy important for avoiding financial fraud?","Financial literacy helps people recognize and avoid scams by teaching them to ask critical questions about financial products, understand terms and fees, and identify suspicious offers. Studies show that financially literate people are less likely to fall victim to fraud.","Financial literacy has no connection to fraud prevention because scammers target everyone equally regardless of their money knowledge.",12
"Why is financial literacy important for avoiding financial fraud?","Financial literacy helps people recognize and avoid scams by teaching them to ask critical questions about financial products, understand terms and fees, and identify suspicious offers. Studies show that financially literate people are less likely to fall victim to fraud.","Financial fraud is a type of literature genre featuring stories about money and banking adventures.",2
"How does financial literacy support long-term decision-making?","Financial literacy acts as human capital that helps people navigate saving, borrowing, and planning decisions. Research shows that people who understand money basics are more likely to plan ahead, compare options, and avoid high-cost decisions that create long-term stress.","Understanding personal finance enables better long-term choices because people can evaluate options, anticipate consequences, and make informed decisions about saving and borrowing that reduce future financial pressure.",93
"How does financial literacy support long-term decision-making?","Financial literacy acts as human capital that helps people navigate saving, borrowing, and planning decisions. Research shows that people who understand money basics are more likely to plan ahead, compare options, and avoid high-cost decisions that create long-term stress.","Knowing about money helps with planning for the future and making better choices, though luck also plays a big role.",52
